date,tenor,side,rate
1997-04-29,2W,PRIBID,12.22
1997-04-29,2W,PRIBOR,12.44
1997-04-29,3M,PRIBID,11.98
1997-04-29,3M,PRIBOR,12.23
1997-04-29,6M,PRIBID,11.74
1997-04-29,6M,PRIBOR,12.0
1997-04-29,9M,PRIBID,11.49
1997-04-29,9M,PRIBOR,11.74
1997-04-30,1D,PRIBID,10.52
1997-04-30,1D,PRIBOR,10.79
1997-04-30,1M,PRIBID,12.17
1997-04-30,1M,PRIBOR,12.4
1997-04-30,1W,PRIBID,12.24
1997-04-30,1W,PRIBOR,12.48
1997-04-30,1Y,PRIBID,11.45
1997-04-30,1Y,PRIBOR,11.71
1997-04-30,2M,PRIBID,12.09
1997-04-30,2M,PRIBOR,12.33
1997-04-30,2W,PRIBID,12.24
1997-04-30,2W,PRIBOR,12.46
1997-04-30,3M,PRIBID,11.99
1997-04-30,3M,PRIBOR,12.24
1997-04-30,6M,PRIBID,11.79
1997-04-30,6M,PRIBOR,12.04
1997-04-30,9M,PRIBID,11.5
1997-04-30,9M,PRIBOR,11.75
1997-05-02,1D,PRIBID,12.02
1997-05-02,1D,PRIBOR,12.26
1997-05-02,1M,PRIBID,12.18
1997-05-02,1M,PRIBOR,12.41
1997-05-02,1W,PRIBID,12.24
1997-05-02,1W,PRIBOR,12.48
1997-05-02,1Y,PRIBID,11.49
1997-05-02,1Y,PRIBOR,11.75
1997-05-02,2M,PRIBID,12.13
1997-05-02,2M,PRIBOR,12.38
1997-05-02,2W,PRIBID,12.23
1997-05-02,2W,PRIBOR,12.46
1997-05-02,3M,PRIBID,12.07
1997-05-02,3M,PRIBOR,12.33
1997-05-02,6M,PRIBID,11.83
1997-05-02,6M,PRIBOR,12.1
1997-05-02,9M,PRIBID,11.55
1997-05-02,9M,PRIBOR,11.81
1997-05-05,1D,PRIBID,12.37
1997-05-05,1D,PRIBOR,12.63
1997-05-05,1M,PRIBID,12.18
1997-05-05,1M,PRIBOR,12.41
1997-05-05,1W,PRIBID,12.23
1997-05-05,1W,PRIBOR,12.47
1997-05-05,1Y,PRIBID,11.49
1997-05-05,1Y,PRIBOR,11.76
1997-05-05,2M,PRIBID,12.12
1997-05-05,2M,PRIBOR,12.36
1997-05-05,2W,PRIBID,12.23
1997-05-05,2W,PRIBOR,12.45
1997-05-05,3M,PRIBID,12.04
1997-05-05,3M,PRIBOR,12.3
1997-05-05,6M,PRIBID,11.82
1997-05-05,6M,PRIBOR,12.08
1997-05-05,9M,PRIBID,11.53
1997-05-05,9M,PRIBOR,11.78
1997-05-06,1D,PRIBID,12.38
1997-05-06,1D,PRIBOR,12.63
1997-05-06,1M,PRIBID,12.19
1997-05-06,1M,PRIBOR,12.43
1997-05-06,1W,PRIBID,12.23
1997-05-06,1W,PRIBOR,12.47
1997-05-06,1Y,PRIBID,11.5
1997-05-06,1Y,PRIBOR,11.89
1997-05-06,2M,PRIBID,12.16
1997-05-06,2M,PRIBOR,12.4
1997-05-06,2W,PRIBID,12.23
1997-05-06,2W,PRIBOR,12.46
1997-05-06,3M,PRIBID,12.07
1997-05-06,3M,PRIBOR,12.32
1997-05-06,6M,PRIBID,11.86
1997-05-06,6M,PRIBOR,12.12
1997-05-06,9M,PRIBID,11.55
1997-05-06,9M,PRIBOR,11.82
1997-05-07,1D,PRIBID,12.04
1997-05-07,1D,PRIBOR,12.28
1997-05-07,1M,PRIBID,12.21
1997-05-07,1M,PRIBOR,12.44
1997-05-07,1W,PRIBID,12.24
1997-05-07,1W,PRIBOR,12.48
1997-05-07,1Y,PRIBID,11.62
1997-05-07,1Y,PRIBOR,11.86
1997-05-07,2M,PRIBID,12.19
1997-05-07,2M,PRIBOR,12.43
1997-05-07,2W,PRIBID,12.23
1997-05-07,2W,PRIBOR,12.47
1997-05-07,3M,PRIBID,12.16
1997-05-07,3M,PRIBOR,12.41
1997-05-07,6M,PRIBID,11.96
1997-05-07,6M,PRIBOR,12.22
1997-05-07,9M,PRIBID,11.65
1997-05-07,9M,PRIBOR,11.89
1997-05-09,1D,PRIBID,11.38
1997-05-09,1D,PRIBOR,11.64
1997-05-09,1M,PRIBID,12.23
1997-05-09,1M,PRIBOR,12.46
1997-05-09,1W,PRIBID,12.26
1997-05-09,1W,PRIBOR,12.5
1997-05-09,1Y,PRIBID,11.64
1997-05-09,1Y,PRIBOR,11.88
1997-05-09,2M,PRIBID,12.2
1997-05-09,2M,PRIBOR,12.45
1997-05-09,2W,PRIBID,12.25
1997-05-09,2W,PRIBOR,12.49
1997-05-09,3M,PRIBID,12.18
1997-05-09,3M,PRIBOR,12.44
1997-05-09,6M,PRIBID,11.97
1997-05-09,6M,PRIBOR,12.22
1997-05-09,9M,PRIBID,11.68
1997-05-09,9M,PRIBOR,11.92
1997-05-12,1D,PRIBID,12.26
1997-05-12,1D,PRIBOR,12.5
1997-05-12,1M,PRIBID,12.22
1997-05-12,1M,PRIBOR,12.46
1997-05-12,1W,PRIBID,12.24
1997-05-12,1W,PRIBOR,12.46
1997-05-12,1Y,PRIBID,11.64
1997-05-12,1Y,PRIBOR,11.89
1997-05-12,2M,PRIBID,12.22
1997-05-12,2M,PRIBOR,12.46
1997-05-12,2W,PRIBID,12.23
1997-05-12,2W,PRIBOR,12.46
1997-05-12,3M,PRIBID,12.15
1997-05-12,3M,PRIBOR,12.41
1997-05-12,6M,PRIBID,11.99
1997-05-12,6M,PRIBOR,12.24
1997-05-12,9M,PRIBID,11.67
1997-05-12,9M,PRIBOR,11.92
1997-05-13,1D,PRIBID,12.25
1997-05-13,1D,PRIBOR,12.49
1997-05-13,1M,PRIBID,12.22
1997-05-13,1M,PRIBOR,12.45
1997-05-13,1W,PRIBID,12.25
1997-05-13,1W,PRIBOR,12.47
1997-05-13,1Y,PRIBID,11.62
1997-05-13,1Y,PRIBOR,11.88
1997-05-13,2M,PRIBID,12.22
1997-05-13,2M,PRIBOR,12.46
1997-05-13,2W,PRIBID,12.25
1997-05-13,2W,PRIBOR,12.47
1997-05-13,3M,PRIBID,12.13
1997-05-13,3M,PRIBOR,12.39
1997-05-13,6M,PRIBID,11.97
1997-05-13,6M,PRIBOR,12.23
1997-05-13,9M,PRIBID,11.67
1997-05-13,9M,PRIBOR,11.92
1997-05-14,1D,PRIBID,12.24
1997-05-14,1D,PRIBOR,12.49
1997-05-14,1M,PRIBID,12.22
1997-05-14,1M,PRIBOR,12.45
1997-05-14,1W,PRIBID,12.25
1997-05-14,1W,PRIBOR,12.47
1997-05-14,1Y,PRIBID,11.64
1997-05-14,1Y,PRIBOR,11.89
1997-05-14,2M,PRIBID,12.22
1997-05-14,2M,PRIBOR,12.46
1997-05-14,2W,PRIBID,12.24
1997-05-14,2W,PRIBOR,12.47
1997-05-14,3M,PRIBID,12.14
1997-05-14,3M,PRIBOR,12.4
1997-05-14,6M,PRIBID,11.98
1997-05-14,6M,PRIBOR,12.23
1997-05-14,9M,PRIBID,11.68
1997-05-14,9M,PRIBOR,11.92
1997-05-15,1D,PRIBID,12.24
1997-05-15,1D,PRIBOR,12.5
1997-05-15,1M,PRIBID,12.68
1997-05-15,1M,PRIBOR,12.95
1997-05-15,1W,PRIBID,12.5
1997-05-15,1W,PRIBOR,12.76
1997-05-15,1Y,PRIBID,12.28
1997-05-15,1Y,PRIBOR,12.53
1997-05-15,2M,PRIBID,12.56
1997-05-15,2M,PRIBOR,12.81
1997-05-15,2W,PRIBID,12.54
1997-05-15,2W,PRIBOR,12.76
1997-05-15,3M,PRIBID,12.55
1997-05-15,3M,PRIBOR,12.83
1997-05-15,6M,PRIBID,12.38
1997-05-15,6M,PRIBOR,12.64
1997-05-15,9M,PRIBID,12.3
1997-05-15,9M,PRIBOR,12.55
1997-05-16,1D,PRIBID,12.11
1997-05-16,1D,PRIBOR,12.36
1997-05-16,1M,PRIBID,13.05
1997-05-16,1M,PRIBOR,13.31
1997-05-16,1W,PRIBID,12.91
1997-05-16,1W,PRIBOR,13.16
1997-05-16,1Y,PRIBID,12.56
1997-05-16,1Y,PRIBOR,12.84
1997-05-16,2M,PRIBID,12.87
1997-05-16,2M,PRIBOR,13.15
1997-05-16,2W,PRIBID,12.92
1997-05-16,2W,PRIBOR,13.17
1997-05-16,3M,PRIBID,12.83
1997-05-16,3M,PRIBOR,13.11
1997-05-16,6M,PRIBID,12.68
1997-05-16,6M,PRIBOR,12.97
1997-05-16,9M,PRIBID,12.6
1997-05-16,9M,PRIBOR,12.89
1997-05-19,1D,PRIBID,20.31
1997-05-19,1D,PRIBOR,34.93
1997-05-19,1M,PRIBID,22.4
1997-05-19,1M,PRIBOR,30.91
1997-05-19,1W,PRIBID,25.83
1997-05-19,1W,PRIBOR,40.25
1997-05-19,1Y,PRIBID,12.25
1997-05-19,1Y,PRIBOR,22.16
1997-05-19,2M,PRIBID,19.71
1997-05-19,2M,PRIBOR,29.07
1997-05-19,2W,PRIBID,24.96
1997-05-19,2W,PRIBOR,38.12
1997-05-19,3M,PRIBID,15.6
1997-05-19,3M,PRIBOR,27.16
1997-05-19,6M,PRIBID,14.75
1997-05-19,6M,PRIBOR,25.28
1997-05-19,9M,PRIBID,12.67
1997-05-19,9M,PRIBOR,23.27
1997-05-20,1D,PRIBID,61.17
1997-05-20,1D,PRIBOR,80.66
1997-05-20,1M,PRIBID,22.97
1997-05-20,1M,PRIBOR,32.9
1997-05-20,1W,PRIBID,29.59
1997-05-20,1W,PRIBOR,43.38
1997-05-20,1Y,PRIBID,12.42
1997-05-20,1Y,PRIBOR,16.57
1997-05-20,2M,PRIBID,17.29
1997-05-20,2M,PRIBOR,25.86
1997-05-20,2W,PRIBID,24.75
1997-05-20,2W,PRIBOR,41.0
1997-05-20,3M,PRIBID,14.67
1997-05-20,3M,PRIBOR,23.28
1997-05-20,6M,PRIBID,13.01
1997-05-20,6M,PRIBOR,18.59
1997-05-20,9M,PRIBID,12.54
1997-05-20,9M,PRIBOR,17.39
1997-05-21,1D,PRIBOR,138.75
1997-05-21,1M,PRIBID,25.33
1997-05-21,1M,PRIBOR,43.25
1997-05-21,1W,PRIBID,34.67
1997-05-21,1W,PRIBOR,60.0
1997-05-21,1Y,PRIBID,12.22
1997-05-21,1Y,PRIBOR,21.0
1997-05-21,2M,PRIBID,21.67
1997-05-21,2M,PRIBOR,39.67
1997-05-21,2W,PRIBID,32.0
1997-05-21,2W,PRIBOR,52.5
1997-05-21,3M,PRIBID,16.67
1997-05-21,3M,PRIBOR,32.83
1997-05-21,6M,PRIBID,13.5
1997-05-21,6M,PRIBOR,23.6
1997-05-21,9M,PRIBID,12.56
1997-05-21,9M,PRIBOR,21.8
1997-05-22,1D,PRIBID,67.5
1997-05-22,1D,PRIBOR,197.5
1997-05-22,1M,PRIBID,24.5
1997-05-22,1M,PRIBOR,46.17
1997-05-22,1W,PRIBID,36.25
1997-05-22,1W,PRIBOR,75.0
1997-05-22,1Y,PRIBID,12.52
1997-05-22,1Y,PRIBOR,19.2
1997-05-22,2M,PRIBID,19.17
1997-05-22,2M,PRIBOR,36.0
1997-05-22,2W,PRIBID,34.17
1997-05-22,2W,PRIBOR,60.83
1997-05-22,3M,PRIBID,15.4
1997-05-22,3M,PRIBOR,32.4
1997-05-22,6M,PRIBID,13.4
1997-05-22,6M,PRIBOR,21.8
1997-05-22,9M,PRIBID,12.96
1997-05-22,9M,PRIBOR,19.6
1997-05-23,1D,PRIBID,26.74
1997-05-23,1D,PRIBOR,70.71
1997-05-23,1M,PRIBID,18.71
1997-05-23,1M,PRIBOR,46.43
1997-05-23,1W,PRIBID,30.94
1997-05-23,1W,PRIBOR,81.27
1997-05-23,1Y,PRIBID,12.49
1997-05-23,1Y,PRIBOR,18.2
1997-05-23,2M,PRIBID,16.15
1997-05-23,2M,PRIBOR,37.81
1997-05-23,2W,PRIBID,28.94
1997-05-23,2W,PRIBOR,73.59
1997-05-23,3M,PRIBID,14.01
1997-05-23,3M,PRIBOR,32.29
1997-05-23,6M,PRIBID,13.49
1997-05-23,6M,PRIBOR,23.1
1997-05-23,9M,PRIBID,12.71
1997-05-23,9M,PRIBOR,18.54
1997-05-26,1D,PRIBID,39.38
1997-05-26,1D,PRIBOR,79.42
1997-05-26,1M,PRIBID,26.36
1997-05-26,1M,PRIBOR,56.26
1997-05-26,1W,PRIBID,35.44
1997-05-26,1W,PRIBOR,82.5
1997-05-26,1Y,PRIBID,12.75
1997-05-26,1Y,PRIBOR,19.17
1997-05-26,2M,PRIBID,15.72
1997-05-26,2M,PRIBOR,38.28
1997-05-26,2W,PRIBID,36.05
1997-05-26,2W,PRIBOR,79.29
1997-05-26,3M,PRIBID,13.86
1997-05-26,3M,PRIBOR,26.07
1997-05-26,6M,PRIBID,13.36
1997-05-26,6M,PRIBOR,22.64
1997-05-26,9M,PRIBID,13.12
1997-05-26,9M,PRIBOR,19.5
1997-05-27,1D,PRIBID,99.71
1997-05-27,1D,PRIBOR,186.13
1997-05-27,1M,PRIBID,26.25
1997-05-27,1M,PRIBOR,57.88
1997-05-27,1W,PRIBID,44.38
1997-05-27,1W,PRIBOR,86.88
1997-05-27,1Y,PRIBID,12.5
1997-05-27,1Y,PRIBOR,18.25
1997-05-27,2M,PRIBID,18.38
1997-05-27,2M,PRIBOR,38.38
1997-05-27,2W,PRIBID,36.25
1997-05-27,2W,PRIBOR,83.13
1997-05-27,3M,PRIBID,15.13
1997-05-27,3M,PRIBOR,29.38
1997-05-27,6M,PRIBID,13.13
1997-05-27,6M,PRIBOR,19.75
1997-05-27,9M,PRIBID,12.78
1997-05-27,9M,PRIBOR,18.81
1997-05-28,1D,PRIBID,99.92
1997-05-28,1D,PRIBOR,172.11
1997-05-28,1M,PRIBID,22.94
1997-05-28,1M,PRIBOR,44.5
1997-05-28,1W,PRIBID,39.38
1997-05-28,1W,PRIBOR,80.63
1997-05-28,1Y,PRIBID,13.14
1997-05-28,1Y,PRIBOR,19.21
1997-05-28,2M,PRIBID,15.63
1997-05-28,2M,PRIBOR,33.13
1997-05-28,2W,PRIBID,33.44
1997-05-28,2W,PRIBOR,75.0
1997-05-28,3M,PRIBID,14.31
1997-05-28,3M,PRIBOR,25.75
1997-05-28,6M,PRIBID,13.55
1997-05-28,6M,PRIBOR,21.21
1997-05-28,9M,PRIBID,13.31
1997-05-28,9M,PRIBOR,19.79
1997-05-29,1D,PRIBID,143.13
1997-05-29,1D,PRIBOR,194.38
1997-05-29,1M,PRIBID,27.5
1997-05-29,1M,PRIBOR,58.13
1997-05-29,1W,PRIBID,44.38
1997-05-29,1W,PRIBOR,85.63
1997-05-29,1Y,PRIBID,13.43
1997-05-29,1Y,PRIBOR,21.18
1997-05-29,2M,PRIBID,16.75
1997-05-29,2M,PRIBOR,40.13
1997-05-29,2W,PRIBID,37.81
1997-05-29,2W,PRIBOR,79.38
1997-05-29,3M,PRIBID,15.31
1997-05-29,3M,PRIBOR,29.56
1997-05-29,6M,PRIBID,14.43
1997-05-29,6M,PRIBOR,24.61
1997-05-29,9M,PRIBID,13.82
1997-05-29,9M,PRIBOR,21.91
1997-05-30,1D,PRIBID,95.63
1997-05-30,1D,PRIBOR,151.88
1997-05-30,1M,PRIBID,26.94
1997-05-30,1M,PRIBOR,57.88
1997-05-30,1W,PRIBID,41.56
1997-05-30,1W,PRIBOR,85.63
1997-05-30,1Y,PRIBID,13.43
1997-05-30,1Y,PRIBOR,21.36
1997-05-30,2M,PRIBID,17.38
1997-05-30,2M,PRIBOR,39.38
1997-05-30,2W,PRIBID,35.63
1997-05-30,2W,PRIBOR,79.69
1997-05-30,3M,PRIBID,15.56
1997-05-30,3M,PRIBOR,31.54
1997-05-30,6M,PRIBID,14.17
1997-05-30,6M,PRIBOR,24.48
1997-05-30,9M,PRIBID,13.79
1997-05-30,9M,PRIBOR,22.07
1997-06-02,1D,PRIBID,35.46
1997-06-02,1D,PRIBOR,65.04
1997-06-02,1M,PRIBID,24.75
1997-06-02,1M,PRIBOR,54.75
1997-06-02,1W,PRIBID,33.5
1997-06-02,1W,PRIBOR,72.5
1997-06-02,1Y,PRIBID,13.36
1997-06-02,1Y,PRIBOR,21.0
1997-06-02,2M,PRIBID,17.89
1997-06-02,2M,PRIBOR,40.08
1997-06-02,2W,PRIBID,30.35
1997-06-02,2W,PRIBOR,67.5
1997-06-02,3M,PRIBID,16.81
1997-06-02,3M,PRIBOR,32.79
1997-06-02,6M,PRIBID,14.1
1997-06-02,6M,PRIBOR,25.06
1997-06-02,9M,PRIBID,13.69
1997-06-02,9M,PRIBOR,21.71
1997-06-03,1D,PRIBID,35.83
1997-06-03,1D,PRIBOR,55.67
1997-06-03,1M,PRIBID,23.5
1997-06-03,1M,PRIBOR,48.85
1997-06-03,1W,PRIBID,31.0
1997-06-03,1W,PRIBOR,58.13
1997-06-03,1Y,PRIBID,13.31
1997-06-03,1Y,PRIBOR,19.81
1997-06-03,2M,PRIBID,19.89
1997-06-03,2M,PRIBOR,42.71
1997-06-03,2W,PRIBID,27.85
1997-06-03,2W,PRIBOR,56.25
1997-06-03,3M,PRIBID,18.0
1997-06-03,3M,PRIBOR,33.17
1997-06-03,6M,PRIBID,14.54
1997-06-03,6M,PRIBOR,24.81
1997-06-03,9M,PRIBID,13.42
1997-06-03,9M,PRIBOR,20.5
1997-06-04,1D,PRIBID,7.33
1997-06-04,1D,PRIBOR,21.5
1997-06-04,1M,PRIBID,20.15
1997-06-04,1M,PRIBOR,40.77
1997-06-04,1W,PRIBID,30.65
1997-06-04,1W,PRIBOR,47.1
1997-06-04,1Y,PRIBID,13.15
1997-06-04,1Y,PRIBOR,19.44
1997-06-04,2M,PRIBID,18.31
1997-06-04,2M,PRIBOR,38.83
1997-06-04,2W,PRIBID,25.51
1997-06-04,2W,PRIBOR,44.47
1997-06-04,3M,PRIBID,18.75
1997-06-04,3M,PRIBOR,33.15
1997-06-04,6M,PRIBID,14.73
1997-06-04,6M,PRIBOR,24.18
1997-06-04,9M,PRIBID,13.51
1997-06-04,9M,PRIBOR,20.59
1997-06-05,1D,PRIBID,31.31
1997-06-05,1D,PRIBOR,46.56
1997-06-05,1M,PRIBID,22.99
1997-06-05,1M,PRIBOR,39.62
1997-06-05,1W,PRIBID,29.58
1997-06-05,1W,PRIBOR,47.88
1997-06-05,1Y,PRIBID,13.31
1997-06-05,1Y,PRIBOR,19.58
1997-06-05,2M,PRIBID,19.29
1997-06-05,2M,PRIBOR,37.76
1997-06-05,2W,PRIBID,26.28
1997-06-05,2W,PRIBOR,44.8
1997-06-05,3M,PRIBID,18.9
1997-06-05,3M,PRIBOR,33.21
1997-06-05,6M,PRIBID,15.53
1997-06-05,6M,PRIBOR,23.47
1997-06-05,9M,PRIBID,13.44
1997-06-05,9M,PRIBOR,20.11
1997-06-06,1D,PRIBID,31.56
1997-06-06,1D,PRIBOR,45.75
1997-06-06,1M,PRIBID,26.06
1997-06-06,1M,PRIBOR,40.94
1997-06-06,1W,PRIBID,29.58
1997-06-06,1W,PRIBOR,46.45
1997-06-06,1Y,PRIBID,13.33
1997-06-06,1Y,PRIBOR,19.98
1997-06-06,2M,PRIBID,21.88
1997-06-06,2M,PRIBOR,37.19
1997-06-06,2W,PRIBID,24.8
1997-06-06,2W,PRIBOR,42.13
1997-06-06,3M,PRIBID,19.22
1997-06-06,3M,PRIBOR,32.28
1997-06-06,6M,PRIBID,16.15
1997-06-06,6M,PRIBOR,24.87
1997-06-06,9M,PRIBID,13.54
1997-06-06,9M,PRIBOR,20.6
1997-06-09,1D,PRIBID,31.19
1997-06-09,1D,PRIBOR,45.19
1997-06-09,1M,PRIBID,26.75
1997-06-09,1M,PRIBOR,42.1
1997-06-09,1W,PRIBID,32.44
1997-06-09,1W,PRIBOR,47.44
1997-06-09,1Y,PRIBID,13.35
1997-06-09,1Y,PRIBOR,20.38
1997-06-09,2M,PRIBID,22.33
1997-06-09,2M,PRIBOR,38.67
1997-06-09,2W,PRIBID,28.25
1997-06-09,2W,PRIBOR,43.94
1997-06-09,3M,PRIBID,20.25
1997-06-09,3M,PRIBOR,35.21
1997-06-09,6M,PRIBID,17.05
1997-06-09,6M,PRIBOR,25.26
1997-06-09,9M,PRIBID,13.52
1997-06-09,9M,PRIBOR,20.88
1997-06-10,1D,PRIBID,32.13
1997-06-10,1D,PRIBOR,43.81
1997-06-10,1M,PRIBID,25.94
1997-06-10,1M,PRIBOR,39.9
1997-06-10,1W,PRIBID,33.02
1997-06-10,1W,PRIBOR,47.9
1997-06-10,1Y,PRIBID,13.25
1997-06-10,1Y,PRIBOR,20.08
1997-06-10,2M,PRIBID,21.88
1997-06-10,2M,PRIBOR,37.13
1997-06-10,2W,PRIBID,28.19
1997-06-10,2W,PRIBOR,42.88
1997-06-10,3M,PRIBID,19.86
1997-06-10,3M,PRIBOR,33.54
1997-06-10,6M,PRIBID,15.85
1997-06-10,6M,PRIBOR,23.91
1997-06-10,9M,PRIBID,13.45
1997-06-10,9M,PRIBOR,20.61
1997-06-11,1D,PRIBID,25.22
1997-06-11,1D,PRIBOR,33.16
1997-06-11,1M,PRIBID,22.38
1997-06-11,1M,PRIBOR,34.38
1997-06-11,1W,PRIBID,24.52
1997-06-11,1W,PRIBOR,35.23
1997-06-11,1Y,PRIBID,13.61
1997-06-11,1Y,PRIBOR,20.05
1997-06-11,2M,PRIBID,18.81
1997-06-11,2M,PRIBOR,31.63
1997-06-11,2W,PRIBID,24.92
1997-06-11,2W,PRIBOR,35.17
1997-06-11,3M,PRIBID,17.5
1997-06-11,3M,PRIBOR,30.0
1997-06-11,6M,PRIBID,15.58
1997-06-11,6M,PRIBOR,22.05
1997-06-11,9M,PRIBID,13.65
1997-06-11,9M,PRIBOR,20.46
1997-06-12,1D,PRIBID,24.47
1997-06-12,1D,PRIBOR,30.47
1997-06-12,1M,PRIBID,21.56
1997-06-12,1M,PRIBOR,31.16
1997-06-12,1W,PRIBID,25.5
1997-06-12,1W,PRIBOR,33.63
1997-06-12,1Y,PRIBID,13.28
1997-06-12,1Y,PRIBOR,19.94
1997-06-12,2M,PRIBID,18.72
1997-06-12,2M,PRIBOR,28.94
1997-06-12,2W,PRIBID,25.38
1997-06-12,2W,PRIBOR,33.31
1997-06-12,3M,PRIBID,16.7
1997-06-12,3M,PRIBOR,26.43
1997-06-12,6M,PRIBID,15.53
1997-06-12,6M,PRIBOR,22.03
1997-06-12,9M,PRIBID,13.48
1997-06-12,9M,PRIBOR,20.41
1997-06-13,1D,PRIBID,24.66
1997-06-13,1D,PRIBOR,29.9
1997-06-13,1M,PRIBID,21.44
1997-06-13,1M,PRIBOR,27.87
1997-06-13,1W,PRIBID,24.06
1997-06-13,1W,PRIBOR,30.5
1997-06-13,1Y,PRIBID,13.86
1997-06-13,1Y,PRIBOR,18.61
1997-06-13,2M,PRIBID,19.12
1997-06-13,2M,PRIBOR,25.88
1997-06-13,2W,PRIBID,24.44
1997-06-13,2W,PRIBOR,30.5
1997-06-13,3M,PRIBID,16.75
1997-06-13,3M,PRIBOR,22.12
1997-06-13,6M,PRIBID,15.8
1997-06-13,6M,PRIBOR,19.8
1997-06-13,9M,PRIBID,13.97
1997-06-13,9M,PRIBOR,18.79
1997-06-16,1D,PRIBID,30.81
1997-06-16,1D,PRIBOR,36.69
1997-06-16,1M,PRIBID,21.38
1997-06-16,1M,PRIBOR,27.5
1997-06-16,1W,PRIBID,24.03
1997-06-16,1W,PRIBOR,29.78
1997-06-16,1Y,PRIBID,14.13
1997-06-16,1Y,PRIBOR,18.72
1997-06-16,2M,PRIBID,18.94
1997-06-16,2M,PRIBOR,25.31
1997-06-16,2W,PRIBID,23.34
1997-06-16,2W,PRIBOR,29.47
1997-06-16,3M,PRIBID,17.15
1997-06-16,3M,PRIBOR,22.77
1997-06-16,6M,PRIBID,16.01
1997-06-16,6M,PRIBOR,20.54
1997-06-16,9M,PRIBID,14.31
1997-06-16,9M,PRIBOR,18.88
1997-06-17,1D,PRIBID,30.31
1997-06-17,1D,PRIBOR,35.31
1997-06-17,1M,PRIBID,22.53
1997-06-17,1M,PRIBOR,28.99
1997-06-17,1W,PRIBID,26.56
1997-06-17,1W,PRIBOR,33.13
1997-06-17,1Y,PRIBID,14.59
1997-06-17,1Y,PRIBOR,20.03
1997-06-17,2M,PRIBID,19.63
1997-06-17,2M,PRIBOR,26.0
1997-06-17,2W,PRIBID,25.12
1997-06-17,2W,PRIBOR,31.25
1997-06-17,3M,PRIBID,17.63
1997-06-17,3M,PRIBOR,23.59
1997-06-17,6M,PRIBID,16.37
1997-06-17,6M,PRIBOR,21.24
1997-06-17,9M,PRIBID,14.75
1997-06-17,9M,PRIBOR,20.22
1997-06-18,1D,PRIBID,11.91
1997-06-18,1D,PRIBOR,19.78
1997-06-18,1M,PRIBID,22.44
1997-06-18,1M,PRIBOR,29.75
1997-06-18,1W,PRIBID,24.75
1997-06-18,1W,PRIBOR,31.69
1997-06-18,1Y,PRIBID,14.86
1997-06-18,1Y,PRIBOR,20.0
1997-06-18,2M,PRIBID,19.56
1997-06-18,2M,PRIBOR,25.75
1997-06-18,2W,PRIBID,23.75
1997-06-18,2W,PRIBOR,30.25
1997-06-18,3M,PRIBID,18.71
1997-06-18,3M,PRIBOR,23.92
1997-06-18,6M,PRIBID,15.43
1997-06-18,6M,PRIBOR,20.43
1997-06-18,9M,PRIBID,15.06
1997-06-18,9M,PRIBOR,20.19
1997-06-19,1D,PRIBID,13.19
1997-06-19,1D,PRIBOR,20.18
1997-06-19,1M,PRIBID,22.06
1997-06-19,1M,PRIBOR,29.06
1997-06-19,1W,PRIBID,24.5
1997-06-19,1W,PRIBOR,30.81
1997-06-19,1Y,PRIBID,15.01
1997-06-19,1Y,PRIBOR,20.16
1997-06-19,2M,PRIBID,19.56
1997-06-19,2M,PRIBOR,25.75
1997-06-19,2W,PRIBID,23.44
1997-06-19,2W,PRIBOR,29.94
1997-06-19,3M,PRIBID,18.68
1997-06-19,3M,PRIBOR,24.12
1997-06-19,6M,PRIBID,15.87
1997-06-19,6M,PRIBOR,20.84
1997-06-19,9M,PRIBID,15.1
1997-06-19,9M,PRIBOR,20.17
1997-06-20,1D,PRIBID,10.75
1997-06-20,1D,PRIBOR,16.94
1997-06-20,1M,PRIBID,19.94
1997-06-20,1M,PRIBOR,25.63
1997-06-20,1W,PRIBID,20.09
1997-06-20,1W,PRIBOR,25.97
1997-06-20,1Y,PRIBID,14.54
1997-06-20,1Y,PRIBOR,19.63
1997-06-20,2M,PRIBID,18.69
1997-06-20,2M,PRIBOR,24.59
1997-06-20,2W,PRIBID,20.12
1997-06-20,2W,PRIBOR,26.0
1997-06-20,3M,PRIBID,17.34
1997-06-20,3M,PRIBOR,23.25
1997-06-20,6M,PRIBID,15.17
1997-06-20,6M,PRIBOR,20.12
1997-06-20,9M,PRIBID,14.61
1997-06-20,9M,PRIBOR,19.66
1997-06-23,1D,PRIBID,15.81
1997-06-23,1D,PRIBOR,20.94
1997-06-23,1M,PRIBID,16.38
1997-06-23,1M,PRIBOR,21.69
1997-06-23,1W,PRIBID,16.4
1997-06-23,1W,PRIBOR,22.15
1997-06-23,1Y,PRIBID,13.99
1997-06-23,1Y,PRIBOR,18.7
1997-06-23,2M,PRIBID,15.77
1997-06-23,2M,PRIBOR,21.13
1997-06-23,2W,PRIBID,16.46
1997-06-23,2W,PRIBOR,22.21
1997-06-23,3M,PRIBID,16.0
1997-06-23,3M,PRIBOR,21.19
1997-06-23,6M,PRIBID,14.83
1997-06-23,6M,PRIBOR,19.69
1997-06-23,9M,PRIBID,14.32
1997-06-23,9M,PRIBOR,19.22
1997-06-24,1D,PRIBID,15.19
1997-06-24,1D,PRIBOR,18.71
1997-06-24,1M,PRIBID,15.65
1997-06-24,1M,PRIBOR,20.24
1997-06-24,1W,PRIBID,15.63
